============================= Training pipeline =============================
ℹ Pipeline: ['transformer', 'ner']
ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  -------------  --------  ------  ------  ------  ------
  0       0        2930.06    222.10    0.28    0.30    0.26    0.00
 40     200      117382.44  33240.94   96.57   95.00   98.19    0.97
 80     400         438.60   2187.44   97.20   95.74   98.71    0.97
120     600         140.87   1702.86   99.61   99.74   99.48    1.00
160     800          28.44   1541.77   99.87  100.00   99.74    1.00
200    1000          23.50   1475.53   99.87  100.00   99.74    1.00
240    1200          12.21   1398.69   99.87  100.00   99.74    1.00
280    1400          62.81   1388.96   99.87  100.00   99.74    1.00
320    1600           8.46   1252.06   99.87  100.00   99.74    1.00
360    1800          25.11   1198.06   99.61   99.74   99.48    1.00
400    2000          56.55   1150.32   99.87  100.00   99.74    1.00
440    2200           4.39    992.51   99.87  100.00   99.74    1.00
480    2400          17.63    904.21   99.87  100.00   99.74    1.00
